Date (UTC),Lon,Lat,ZHypo(km),Ztor(km),Zbor(km),Le(km),We(km),Aspe,Ae(km2),Mw,[Strike ; Dip ; Rake],Regions,ref (Size),ref (Source Type)
04/18/1906,-122.51,37.78,10,0,11.18,371.45,11.18,33.22,4153.33,7.82,[326;90;180],CA,1,10
06/28/1948,136.188,36.247,10.14,1.5,18.89,54,18,3,972,6.65,[170;75;-15],JP,1,10
08/19/1961,136.8,36.2,10,1.7,12.11,16,12,1.33,192,6.47,[20;60;90],JP,1,10
04/21/1975,131.3,33.15,8.5,0.67,10.65,9.99,9.99,1,99.8,6.36,[305;88;30],JP,1,10
09/16/1978,57.36,33.22,5.5,1,20.02,95,45,2.11,4275,7.09,[330;25;125],Other,1,1
08/06/1979,-121.51,36.97,8,3.48,9.89,6,6.5,0.92,39,5.92,[334;80;176],CA,1,1
10/15/1979,-115.309,32.644,8,1,11.12,37.3,10.16,3.67,379.1,6.5,[308;85;78],CA,1,1
10/28/1983,-113.86,44.06,16,1,21.08,42.3,26.61,1.59,1125.54,6.82,[152;49;-80],Other,1,10
04/24/1984,-121.682,37.317,8.5,1.5,12.76,26.25,11.27,2.33,295.77,6.18,[149;88;180],CA,1,10
09/14/1984,137.49,35.82,3,1.5,10.51,12,9,1.33,108,6.29,[70;90;0],JP,1,1
10/05/1985,-124.217,62.208,8,1.1,9.7,32.14,17.19,1.87,552.39,6.66,[160;30;90],Other,1,1
07/08/1986,-116.57,34,11,8.05,18.98,22,15.2,1.45,334.4,6.17,[287;46;136],CA,1,1
10/01/1987,-118.08,34.05,14.6,12,17,10,10,1,100,5.89,[280;30;90],CA,1,1
11/24/1987,-115.796,33.083,10,0.01,10.01,22.5,10,2.25,225,6.52,[40;90;0],CA,1,1
11/24/1987,-115.85,33.017,10,0.59,10.91,28.38,10.32,2.75,292.9,6.55,[129;90;180],CA,1,1
11/25/1988,-71.184,48.117,26,23,29.98,6,7.7,0.78,46.2,5.81,[320;65;78],Other,1,1
10/18/1989,-121.883,37.041,17.6,4.48,18.89,35.59,15.34,2.32,545.96,6.95,[128;70;135],CA,1,11
12/25/1989,-73.6,60.12,2.5,0.5,3.85,11,5,2.2,55,6.02,[50;42;90],Other,1,1
06/28/1991,-117.99,34.264,12.01,9.86,13.54,4.9,4.8,1.02,23.52,5.59,[242;50;82],CA,1,1
04/23/1992,-116.317,33.966,12.5,3.51,17.73,12.66,14.22,0.89,180,6.2,[71;90;0],CA,1,1
06/28/1992,-116.43,34.2,5,0.64,15.94,77.72,15.3,5.08,1189.11,7.21,[329;90;175],CA,1,10
06/29/1992,-116.178,36.432,11.8,9.4,15.61,7,6.61,1.06,46.27,5.63,[60;70;-90],CA,1,12
03/20/1993,87.491,29.046,8.25,0,12.96,23,19,1.21,437,6.29,[4;43;-46],Other,1,1
12/15/1993,120.507,23.194,15.21,13.72,17.44,6.5,5,1.3,32.5,5.65,[200;48;84],TW,1,13
06/05/1994,121.787,24.468,5.13,3.15,14,10,11,0.91,110,6.28,[87;81;8],TW,1,13
01/16/1995,135.04,34.6,14,0.76,19.05,56.83,18.39,3.09,1045.29,6.92,[139;84;82],JP,1,10
07/03/1996,88.289,30.146,8.25,0,13.73,20,17,1.18,340,6.08,[39;54;-34],Other,1,1
03/26/1997,130.387,31.968,7.6,1,11.6,15.74,10.63,1.48,167.33,6.05,[266;86;6],JP,1,10
06/25/1997,131.676,34.441,7.5,1.15,13.59,9.59,12.46,0.77,119.5,5.81,[144;87;-15],JP,1,10
09/26/1997,12.892,43.023,4.04,1.53,6.39,9.71,7,1.39,68,5.85,[144;44;-90],Other,1,10
03/25/1998,149.74,-62.86,12,0.01,20.42,75,45,1.67,3375,7.76,[295;27;-42],Other,1,1
03/25/1998,149.74,-62.86,12,0.01,34.99,200,35,5.71,7000,7.98,[91;88;1],Other,1,1
07/17/1998,120.66,23.5,6.02,3.34,9.08,11.01,7.49,1.47,82.5,5.84,[45;50;110],TW,1,13
08/25/1998,88.31,30.135,8.25,0,15.1,34,21,1.62,714,6.16,[7;46;-45],Other,1,1
09/03/1998,140.897,39.813,7.5,2.52,9.08,11.2,10,1.12,112,6.29,[228;41;131],JP,1,10
08/17/1999,29.97,40.76,17,0.06,24.72,122.96,24.69,4.98,3035.81,7.48,[178;87;154],Other,1,10
09/20/1999,120.84,23.869,8,0.89,20,89.87,39.41,2.28,3542.04,7.64,[8;29;65],TW,1,13
09/20/1999,121.01,23.94,7.68,1.4,13.04,18.1,17.74,1.02,321.09,5.87,[200;41;78],TW,2,13
09/20/1999,120.86,23.81,9.75,8.45,10.36,10.89,11,0.99,119.79,6.24,[0;10;80],TW,2,13
09/20/1999,121.06,23.85,12.49,1.86,23.17,20.62,28.24,0.73,582.2,6.47,[313;49;7],TW,2,13
09/20/1999,121.039,23.844,12.53,6.42,19.16,21.52,20.7,1.04,445.45,6.46,[336;38;63],TW,2,13
09/22/1999,121.08,23.81,12.06,11.14,26.46,17.27,16.3,1.06,281.51,6.23,[165;70;100],TW,2,13
09/25/1999,121.01,23.87,16.59,11.09,18.62,16.27,15.06,1.08,245.05,6.35,[5;30;100],TW,2,13
10/16/1999,-116.27,34.597,15,1.05,19.26,80.98,18.49,4.38,1497.09,7.18,[334;80;178],CA,1,10
10/22/1999,120.45,23.53,16.59,8.36,21.63,13.88,13.74,1.01,190.71,6.12,[20;75;90],TW,2,13
11/12/1999,31.198,40.818,18,0,24.3,55,26.25,2.1,1400,7.18,[266;68;-180],Other,1,1
06/17/2000,-21.966,63.904,4,0,7.96,9,8,1.12,72,5.87,[5;83;-173],Other,1,14
10/06/2000,133.357,35.269,14,1.02,20.08,34.31,19.06,1.8,653.85,6.75,[145;89;21],JP,1,1
01/26/2001,70.32,23.4,20,2.08,30.25,68.18,33.59,2.03,2290,7.56,[84;57;77],Other,1,1
11/14/2001,90.54,35.95,10,0,34.86,371.95,36.65,10.15,13630.08,7.84,[94;72;-11],Other,1,15
11/03/2002,-147.453,63.514,5.6,3,27.6,345.34,24.84,13.9,8579.81,7.91,[240;82;52],Other,1,10
05/21/2003,3.65,36.83,16,1,24.4,64,32,2,2048,7.25,[54;47;90],Other,1,1
07/25/2003,141.174,38.403,6.5,1.52,9.07,13.8,9.86,1.4,136.08,6.09,[200;50;180],JP,1,10
12/26/2003,58.365,29.052,8,0.5,20.49,25,20,1.25,500,6.5,[176;88;82],Other,1,1
02/07/2004,135.051,-3.991,11.24,1.96,27.9,92,28,3.29,2576,7.2,[261;68;-12],Other,1,10
07/11/2004,83.83,30.73,10,0,15.08,13.98,19.68,0.71,275.1,6.2,[179;50;-78],Other,1,1
09/28/2004,-120.371,35.819,8.26,0.8,14.3,32.37,13.6,2.38,440.31,5.99,[138;83;47],CA,1,1
10/23/2004,138.839,37.307,10.6,1.1,14.24,28,18,1.56,504,6.62,[212;47;88],JP,1,1
03/20/2005,130.16,33.75,14,1,18.98,26,18,1.44,468,6.64,[122;87;0.3],JP,1,1
04/07/2005,90.43,29.76,5.98,0,9.04,19,14.06,1.35,266.76,6.2,[174;40;-68],Other,1,1
06/15/2005,-125.981,41.293,9,1.53,31.42,90,30,3,2700,7.2,[47;85;2],Other,1,1
10/08/2005,73.625,34.49,10.86,1.8,21.52,90.71,40.68,2.23,3690,7.6,[328;29;110],Other,1,10
03/25/2007,136.702,37.217,9.62,0.1,13.96,28,16,1.75,448,6.73,[58;60;140],JP,1,1
08/17/2007,138.61,37.54,8.9,1.51,14.37,29.79,19.22,1.55,572.69,6.6,[49;42;-99],JP,1,1
01/09/2008,81.35,32.41,9.8,0,13.02,12,17,0.71,204,6.4,[233;50;-67],Other,1,1
03/20/2008,81.515,35.482,4.11,0.99,13.18,41.52,15.26,2.72,633.73,7.1,[190;53;-78],Other,1,10
05/12/2008,103.364,30.986,14,1.47,24.11,318.24,39.48,8.06,12565.09,7.93,[228;35;137],Other,1,10
06/13/2008,140.881,39.03,7.77,0.57,14.44,37.72,18.96,1.99,715.14,6.9,[208;47;37],JP,1,16
08/25/2008,83.483,30.775,7.63,4.34,17.17,47.95,19.18,2.5,919.6,6.7,[28;42;-53],Other,1,10
04/06/2009,13.38,42.35,9.5,1.27,13.77,22.69,16.09,1.41,365.24,6.2,[136;51;-109],Other,1,1
05/28/2009,-86.181,16.779,13.52,0,31.18,165.03,31.49,5.24,5197.5,7.3,[65;82;-26],Other,1,10
08/03/2009,-112.807,29.409,9.16,0.38,17.95,60,18,3.3,1092,6.9,[138;75;172],Other,1,10
03/04/2010,120.71,22.97,22.6,0.16,26.52,33,42,0.79,1386,6.47,[324;39;61],TW,3,13
04/04/2010,-115.3,32.3,10,1.27,18.12,136.17,17.53,7.77,2386.5,7.32,[275;74;-165],CA,1,1
09/03/2010,172.039,-43.615,10.84,0,23.76,65,24,2.71,1560,7.02,[85;82;154],Other,1,10
01/05/2013,-134.728,55.292,12,2.41,25.48,90,24,3.75,2160,7.55,[336;74;-178],Other,1,10
03/27/2013,121.05,23.9,19.4,11.15,22.55,24,27,0.89,648,6.08,[355;25;75],TW,4,13
06/02/2013,120.97,23.86,14.5,7.75,17.93,21,21,1,441,6.25,[2;29;85],TW,4,13
09/24/2013,65.371,26.887,6,0.38,19.16,218.42,20.9,10.45,4565.4,7.72,[226;64;23],Other,1,10
